Date	Time	rps	odo	speed_obd	gps_lat	gps_lon	gps_speed	gps_alt	hv_v	hv_a	soc	ice_temp	ice_rpm	ice_pwr	brk_reg_trq	brk_mcyl_trq	trip_nbs	trip_ev_nbs	trip_mov_nbs	trip_dist	trip_ev_dist	hsi	mg2_rpm	ign	ltft	stft	tripfuel	fuelflowh	dcl	ccl	bsfc	ice_load	inverter_temp	battery_temp	mg_temp	inhaling_temp	ambient_temp	room_temp	mg2_torque	mg1_rpm	mg1_torque	mgr_rpm	mgr_torque	glideindex	accelerator
2019/04/16	07:42:34.445	11	14044	0	0	0	0	0	218	6	66.6667	50	926	-0.193941	0	-188	0	0	0	0	0	0	0	2	0	0	0	0	19	-19	0	66	17	17	8	15	-500	-500	50	3230	2.625	0	0	0	0
2019/04/16	07:42:34.738	18	14044	0	0	0	0	0	218	4	66.6667	50	1040	-0.435634	0	-192	0	0	0	0	0	0	0	13	0	0	0	0	19	-19	0	60	17	17	8	15	-500	-500	25.5	3840	0.75	0	0	0	0
2019/04/16	07:42:35.035	25	14044	0	0	0	0	0	218	4	66.6667	49	1228	-0.128596	0	-192	0	0	0	0	0	0	1	12	0	0	0	0	19	-19	0	50	17	17	8	15	-500	-500	7.125	4484	0.625	0	0	0	0
2019/04/16	07:42:35.331	3	14044	0	0	0	0	0	220	2	66.6667	49	1360	0.996932	0	-188	1	0	0	0	0	0	-1	11	0	0	2.47084	30.0507	19	-19	0	47	17	17	8	15	-500	-500	-7.375	4923	-2.75	0	0	0	0
2019/04/16	07:42:35.647	10	14044	0	0	0	0	0	222	0	66.6667	49	1354	1.27611	0	-188	1	0	0	0	0	0	4	10	0	0	5.08868	29.9182	19	-19	666	45	16	17	8	15	-500	-500	-6.375	4827	-2.375	0	0	0	0
2019/04/16	07:42:35.938	17	14044	0	0	0	0	0	222	-2	66.6667	49	1368	1.71908	0	-172	1	0	0	0	0	0	-1	13	0	0	7.53207	30.2275	19	-19	666	52	17	17	8	15	-500	-500	-12.125	4977	-4.625	0	0	0	0
2019/04/16	07:42:36.242	0	14044	0	0	0	0	0	226	-16	66.6667	48	1447	4.39436	0	-136	2	0	0	0	0	0	0	11	0	0	10.232	31.9731	19	-19	666	65	16	17	8	15	-500	-500	-21.375	5221	-8.25	0	0	0	0
2019/04/16	07:42:36.515	7	14044	0	0	0	0	0	226	-14	66.6667	48	1457	5.03503	0	0	2	0	0	1.54475e-05	0	0	18	9	0	0	12.6734	32.1941	19	-19	666	70	16	17	8	15	-500	-500	5.375	5227	-9.375	0	0	0	0
2019/04/16	07:42:36.837	14	14044	0	0	0	0	0	226	-12	66.6667	46	1439	4.82214	0	0	2	0	0	4.65046e-05	0	0	28	7	0	0	15.5174	31.7963	19	-19	666	74	17	17	8	15	-500	-500	75.5	5150	-9.375	0	0	0	15
2019/04/16	07:42:37.145	0	14044	1	0	0	0	0	224	-8	66.6667	45	1424	4.77187	0	0	3	0	0	9.87886e-05	0	0	42	4	0	0	18.2094	31.4649	19	-19	666	76	17	17	8	15	-500	-500	107	5021	-8.875	0	0	0	18
