Date	Time	rps	odo	speed_obd	gps_lat	gps_lon	gps_speed	gps_alt	hv_v	hv_a	soc	ice_temp	ice_rpm	ice_pwr	brk_reg_trq	brk_mcyl_trq	trip_nbs	trip_ev_nbs	trip_mov_nbs	trip_dist	trip_ev_dist	hsi	mg2_rpm	ign	ltft	stft	tripfuel	fuelflowh	dcl	ccl	bsfc	ice_load	inverter_temp	battery_temp	mg_temp	inhaling_temp	ambient_temp	room_temp	mg2_torque	mg1_rpm	mg1_torque	mgr_rpm	mgr_torque	glideindex	accelerator
2019/04/06	17:11:48.241	11	13435	0	44.993604	-93.309629	1	306	226	-8	63.9216	53	1332	2.92922	0	-412	0	0	0	0	0	0	-2	-10	-1	0	0	29.432	21	-25	666	71	34	37	38	26	-500	-500	-16	4801	-6.125	0	0	0	0
2019/04/06	17:11:48.628	18	13435	0	44.993604	-93.309629	1	306	226	-10	63.9216	53	1310	3.15521	0	-412	0	0	0	0	0	0	1	-10	-1	0	3.11169	28.9459	21	-25	666	71	35	37	38	25	-500	-500	-17.375	4718	-6.625	0	0	0	0
2019/04/06	17:11:49.052	0	13435	0	44.993604	-93.309629	1	306	226	-8	63.9216	53	1327	3.47408	0	-412	1	0	0	0	0	0	3	-10	-1	0	6.57326	29.3216	21	-25	666	71	35	37	38	25	-500	-500	-18.375	4776	-7	0	0	0	0
2019/04/06	17:11:49.506	7	13435	0	44.993604	-93.309629	1	306	226	-10	63.9216	53	1312	3.5722	0	-412	1	0	0	0	0	0	-2	-10	-1	0	10.2292	28.9901	21	-25	666	70	35	37	38	25	-500	-500	-18.5	4650	-7.125	0	0	0	0
2019/04/06	17:11:49.939	0	13435	0	44.993604	-93.309629	1	306	228	-10	63.9216	53	1298	3.39816	0	-412	2	0	0	0	0	0	-1	-10	-1	0	13.6709	28.6808	21	-25	666	71	35	37	38	25	-500	-500	-18.75	4694	-7.125	0	0	0	0
2019/04/06	17:11:50.297	7	13435	0	44.993604	-93.309629	1	306	226	-12	63.9216	53	1307	3.69546	0	-412	2	0	0	0	0	0	1	-10	-1	0	16.5509	28.8796	21	-25	666	71	35	37	38	25	-500	-500	-18.75	4676	-7.125	0	0	0	0
2019/04/06	17:11:50.711	14	13435	0	44.993647	-93.309743	1	277	228	-10	63.9216	53	1301	3.67849	0	-412	2	0	0	0	0	0	2	-10	-1	0	19.8488	28.7471	21	-25	666	71	36	37	38	25	-500	-500	-19.75	4678	-7.625	0	0	0	0
2019/04/06	17:11:51.970	0	13435	0	44.993647	-93.309743	1	277	228	-10	64.7059	53	1299	3.40077	0	-412	4	0	0	0	0	0	-2	-10	-1	0	29.8948	28.7029	21	-25	666	72	36	37	38	25	-500	-500	-18.875	4655	-7.25	0	0	0	0
2019/04/06	17:11:52.336	7	13435	0	44.993647	-93.309743	1	277	228	-10	64.7059	53	1300	3.26726	0	-412	4	0	0	0	0	0	0	-10	-1	1	32.8072	28.725	21	-25	666	71	36	37	38	25	-500	-500	-17.625	4678	-6.75	0	0	0	0
2019/04/06	17:11:52.786	14	13435	0	44.993647	-93.309743	1	277	228	-12	64.7059	53	1307	3.55859	0	-408	4	0	0	0	0	0	-4	-10	-1	0	36.4252	28.8796	21	-25	666	71	35	37	38	25	-500	-500	-19.375	4725	-7.375	0	0	0	0
2019/04/06	17:11:53.171	6	13435	0	44.993647	-93.309743	1	277	228	-10	64.7059	53	1290	3.5123	0	-408	5	0	0	0	0	0	-2	-10	-1	1	39.4735	28.504	21	-25	666	70	35	37	38	25	-500	-500	-18.625	4632	-7.125	0	0	0	0
2019/04/06	17:11:53.599	13	13435	0	44.993647	-93.309743	1	277	228	-12	64.7059	53	1293	3.24966	0	-408	5	0	0	0	0	0	1	-10	-1	1	42.8861	28.5703	21	-25	666	71	36	37	38	25	-500	-500	-17.625	4658	-6.75	0	0	0	0
2019/04/06	17:11:54.043	1	13435	0	44.993647	-93.309743	1	277	228	-10	64.7059	53	1304	3.41386	0	-408	6	0	0	0	0	0	-1	-10	-1	1	46.4397	28.8133	21	-25	666	70	36	37	38	25	-500	-500	-18.75	4705	-7.125	0	0	0	0
