Date	Time	rps	odo	speed_obd	gps_lat	gps_lon	gps_speed	gps_alt	hv_v	hv_a	soc	ice_temp	ice_rpm	ice_pwr	brk_reg_trq	brk_mcyl_trq	trip_nbs	trip_ev_nbs	trip_mov_nbs	trip_dist	trip_ev_dist	hsi	mg2_rpm	ign	ltft	stft	tripfuel	fuelflowh	dcl	ccl	bsfc	ice_load	inverter_temp	battery_temp	mg_temp	inhaling_temp	ambient_temp	room_temp	mg2_torque	mg1_rpm	mg1_torque	mgr_rpm	mgr_torque	glideindex	accelerator
2019/04/24	07:53:01.538	11	1870	27	0	0	0	0	226	-8	56.4706	51	1304	7.78361	0	0	0	0	0	0.0130782	0	0	982	15	2	-1	0	28.9297	20.5	-20	666	45	17	21	16	15	-500	-500	6	2148	-15.75	0	0	0	22
2019/04/24	07:53:01.817	18	1870	27	0	0	0	0	228	-8	56.4706	51	1290	6.48425	0	0	0	0	0	0.0151901	0	0	980	14	2	-1	2.21798	28.6191	20.5	-20	666	40	17	21	16	15	-500	-500	-7.75	2079	-12.875	0	0	0	13
2019/04/24	07:53:02.138	25	1870	27	0	0	0	0	228	-10	56.4706	51	1295	3.79714	0	0	0	0	0	0.0176124	0	0	972	14	2	-2	4.77975	28.7301	20.5	-20	666	28	17	21	16	15	-500	-500	-17.875	2165	-5.125	0	0	0	0
2019/04/24	07:53:02.476	3	1870	27	0	0	0	0	228	-8	56.4706	51	1306	0.136764	0	0	1	0	1	0.0201494	0	0	957	12	2	1	7.50009	28.9741	20.5	-20	0	19	17	21	16	15	-500	-500	-23.75	2323	-0.375	0	0	0	0
2019/04/24	07:53:02.808	10	1870	27	0	0	0	0	226	-6	56.4706	51	1389	0.145456	0	0	1	0	1	0.0226315	0	0	939	12	2	7	10.3505	30.8155	20.5	-20	0	16	17	21	16	15	-500	-500	-22.75	2590	-0.25	0	0	0	0
2019/04/24	07:53:03.124	17	1870	26	0	0	0	0	226	-6	56.4706	51	1414	0	0	0	1	0	1	0.0249556	0	0	918	12	2	7	13.1041	31.3701	20.5	-20	0	16	17	21	16	15	-500	-500	-21.625	2703	0	0	0	0	0
2019/04/24	07:53:03.463	5	1870	26	0	0	0	0	228	-14	56.4706	51	1407	0	32	-48	2	0	2	0.0273899	0	0	881	12	2	5	16.0222	31.0798	20.5	-20	0	16	17	21	16	15	-500	-500	-55.75	2763	0	0	0	0	0
2019/04/24	07:53:03.770	12	1870	25	0	0	0	0	230	-14	56.4706	51	1391	0	32	-36	2	0	2	0.0295461	0	0	856	12	2	2	18.6538	30.8599	20.5	-20	0	16	18	21	16	15	-500	-500	-54.875	2780	0	0	0	0	0
2019/04/24	07:53:04.088	19	1870	25	0	0	0	0	228	-10	56.4706	51	1368	0	16	-24	2	0	2	0.0317151	0	0	826	12	2	0	21.3347	30.3496	20.5	-20	0	17	17	21	16	15	-500	-500	-38.25	2792	0	0	0	0	0
2019/04/24	07:53:04.418	2	1870	24	0	0	0	0	228	-8	56.4706	51	1365	0	16	-16	3	0	3	0.0339008	0	0	798	12	2	-1	24.1191	30.283	20.5	-20	0	17	17	21	16	15	-500	-500	-37.375	2839	0	0	0	0	0
2019/04/24	07:53:04.751	9	1870	23	0	0	0	0	228	-8	56.4706	51	1362	0	20	-24	3	0	3	0.0360107	0	0	757	12	2	-4	26.9057	30.2165	20.5	-20	0	16	17	21	16	15	-500	-500	-40.125	2911	0	0	0	0	0
2019/04/24	07:53:05.073	16	1870	22	0	0	0	0	228	-10	56.4706	51	1332	0	24	-28	3	0	3	0.0379829	0	0	732	12	2	-5	29.5489	29.5509	20.5	-20	0	16	17	21	16	15	-500	-500	-43	2890	0	0	0	0	0
2019/04/24	07:53:05.367	1	1870	21	0	0	0	0	228	-10	56.4706	51	1322	0	32	-36	4	0	4	0.039712	0	0	698	12	2	-6	31.9441	29.3291	20.5	-20	0	17	17	21	16	15	-500	-500	-49.375	2947	0	0	0	0	0
2019/04/24	07:53:05.702	8	1870	20	0	0	0	0	228	-10	56.4706	51	1316	0	32	-36	4	0	4	0.0416031	0	0	673	12	2	-6	34.6609	29.196	20.5	-20	0	17	17	21	16	15	-500	-500	-48.25	3008	0	0	0	0	0
2019/04/24	07:53:05.982	15	1870	19	0	0	0	0	228	-8	56.4706	51	1309	0	36	-40	4	0	4	0.0431129	0	0	634	12	2	-6	36.9196	29.0407	20.5	-20	0	17	17	21	16	15	-500	-500	-50.875	3043	0	0	0	0	0
2019/04/24	07:53:06.262	0	1870	19	0	0	0	0	226	-2	56.4706	51	1292	0	0	0	5	0	5	0.0445673	0	0	629	12	2	-6	39.149	28.6635	20.5	-20	0	17	17	21	16	15	-500	-500	-11.125	3009	0	0	0	0	0
2019/04/24	07:53:06.586	7	1870	18	0	0	0	0	226	0	56.4706	51	1283	0	0	0	5	0	5	0.0461878	0	0	607	12	2	-5	41.7108	28.4638	20.5	-20	0	18	17	21	16	15	-500	-500	-10.25	3050	0	0	0	0	0
